LELL  Sabadell 
9WI4  Faken 
FAHV  Gariep Dam 
4PS4  [H] High Ridge Farm 
MI37  Wenning Landing Area 
XEKHRC  [H] Horns Rev C Helideck 
H88  Fredericktown Regnl 
SDPJ  [H] Panco 7 
4S7  Malin 
SA8X  LOS MOLINOS ESTABLECIMIENTO LA FLORENC 
F50  Lake Whitney State Park 
EDKD  Altena - Hegenscheid 
6K3  Creighton Muni 
XC0016  Ste Anne du Lac 
XC002L  Weagamow Lake Seaplane Base 
WZ06  Hulu Tayan (MAF) 
SDSQ  Usina Santa Rita 
SA89  SAN PEDRO 
7NE0  Crists Sky Ranch 
KCLT  Charlotte Douglas Intl 
83Q  [S] Port of Poulsbo Marina Moorage 
KMBG  Mobridge Muni 
LFQD  Arras - Roclincourt 
TA80  U U Ranch 
YTIB  Tibooburra 
A36  Hadley 
RK29  G 203 
1M5  Portland Muni 
80J  Earle Airpark 
SCVL  Las Marías 
1MD7  [H] Shady Grove Adventist 
3U1  Warren USFS 
MN51  Bowers 
SVMI  Caracas Simon Bolivar Intl 
NK58  [H] Gibraltar 
32FL  [H] Meyer 
VNDH  Dhangadhi 
MY60  Hagen 
NE80  Weaver 
YARG  Argyle 
OH46  [H] Medical Center Hospital 
TX82  Laguna Park Air Strip 
21II  [H] The Kings Daughters 
FA37  WING SOUTH AIRPARK 
YCDH  Cadney Homestead 
9PA9  [H] Lankenau Hospital 
SVCB  CIUDAD BOLIVAR 
WMKM  Malacca 
60R  Navasota Muni 
KCAD  WEXFORD CO 
O05  ROGERS FLD 
WS53  [H] St Marys Medical Center 
YTDR  Theodore 
KOTH  Southwest Oregon Regl 
63I  Hildreth Air Park 
YTGI  Trangie 
83NY  [H] Norcross Helipad 
1OR8  [H] Clackamas County Redsoils 
0NK2  Westwind Farm 
SAC9  REALICO 
KHQU  Thomson-Mcduffie County 
LOWZ  Zell am See 
SA5H  Monte Buey/Pedro Ferrari 
6OR1  Pointers 
SJSI  [H] Transportadora Americana 
64II  [H] The Lutheran Hosp of Indiana 
H63  [S] Harlan County Lake Seaplane Base 
EDFT  Lauterbach 
8H0  Giles Griswold 
WT35  Takar (Private) 
SA6S  GOYA AEROCLUB 
SJPR  Asas de Balsa Nova 
MWCB  Sir Captain Charles Kirkconnell International Airport 
LTAW  Tokat 
4IS6  Hattan Farms 
KSDC  WILLIAMSON SODUS 
LTBL  CIGLI AB 
ESGJ  Jonkoping 
FAGY  Greytown 
MP21  Alvaro Berroa 
KSEG  Penn Valley 
3LL9  Wilbur Thompson 
YJNB  Jurien Bay 
LTCH  SANLIURFA 
CWC1  White City (Radomsky) 
37WA  Baumann Farm Inc. 
EDDK  Koeln - Bonn 
0IL0  [H] Hamilton Memorial 
SA4L  Concordia Aeroclub 
SA76  SALTO SKARE 
SJRM  [H] Monte das Oliveiras 
WT21  Somanente (MAF) 
02TS  [H] Fwomc 
EDGP  Oppenheim 
0GA8  Paso Fino Farm 
SA7W  LA PELADA 
SJQV  Usina Santa Luiza 
7GA1  [H] WSB-TV 
O11  STILWELL CHEROKEE NATION 
7IL9  Ambler - Cady 
KMMH  Mammoth Yosemite 
72WA  [H] Hiline 
SAAG  Gualeguaychu 
TX96  Maxwell Field 
VNKG  Manamaya Rai Khanidanda 
FA23  [S] Lake Eustis 
4LL0  Ranken 
YCEL  Capella 
47TS  Hensarling 
1TE1  BRISCOES CATARINA RANCH 
OMSJ  Sharjah Intl 
CKQ2  Squaw Rapids 
1MI0  [S] Ashman Island 
KOWD  Norwood Memorial 
MN86  Sky Manor Aero Estates 
O39  Ravendale 
ED02  Fuessen 
SACO  Ing Ambrosio Taravella 
9GA4  [H] Trico 
TA57  Rainbow International 
83MU  Dalbom 
SVCU  Antonio Jose De Sucre 
NE57  Thomas 
2FD1  Hobby Hill 
KTBR  STATESBORO BULLOCH CO 
VG40  WOODY 
YHTN  Herberton 
28AK  Farrars 
LS17  [H] Jack Kent 
FMSF  Fianarantsoa 
5FD8  [H] Bokeelia Helistop 
YDBY  Derby 
ESFY  [X] Byholma airbase 
0IN8  [H] Roto-Whirl Vantage 
F87  Union Parish 
EDFC  Aschaffenburg 
6F4  Elmdale Airpark 
SJPE  [H] Praia da Armacao 
SA6D  GENERAL LEVALLE 
6MI9  [H] Jr North 
WT09  Bina (CAMA) 
PS66  Parker-Cramer 
ZMTG  Tsetserleg 
2VA6  Arrowhead Point 
6G0  ATHELONE WILLIAMS MEM 
2TX6  Everitt 
17G  Port Bucyrus Crawford Co 
SJQA  Fazenda Clarim 
8OR4  [H] Southern Oregon General Hospital 
84IL  Rossis Farm 
SJRZ  [H] Joao Domingues de Araujo 
PS72  [H] Haig-K 
KSEP  Stephenville Municipal 
ESDF  Ronneby Kallinge 
35OR  Freight Wagon Field 
CYMT  Chapais 
XUZD22  Kortkeros 
SVBQ  BACHAQUERO 
YMKH  [S] MACKAY HARBOUR 
56MN  Lotherts Farm Strip 
OH85  [H] Marietta Memorial Hospital 
SVAJ  MATA DE JUAJUA 
3Y2  George L Scott Muni 
KAXS  Altus/Quartz Mountain Regl 
MN92  Lennartson 
SAAP  General Urquiza 
61A  Camden Muni 
90ND  Circuit Rider 
LHST  Szatymaz 
SAA1  NECOCHEA IRIBERRI 
70OR  Goodin Creek 
1A6  MiddlesBoro-Bell County 
YTEA  [X] TERANG 
YJMO  [H] JACK MANN OVAL 
CYMU  Umiujaq 
0PA4  Ecko Field 
LS02  [H] Seventh Ward General Hospital 
UUCW  Vikhrevo 
6XS9  Harmony Field 
KSEQ  Randolph AFB AUX 
SA4Z  Villa Angela 
FQ49  Vila Franca do Save 
ZMUB  Chinggis Khaan Intl 
PS73  Poverty 
8J9  [H] Wiregrass Hospital 
8OR5  Pilot Butte 
SA7A  HUANGUELEN 
AIE  Aiome 
EDGF  Fulda Jossa 
13MO  Domeyer 
6G1  Titusville 
2TX7  JW 
F92  Kingfisher 
1A7  Jackson County 
TA42  Fly-N-Fish Lodge 
SAA0  PEHUAJO LA MARIELA 
LHSU  Surjány 
92VA  New Quarter Farm 
MN93  Chandler Field 
3Y3  Winterset Muni 
45LA  [H] Air Logistics - Venice N 
1XS0  Double U Ranch 
56MO  Mc Clurg 
OH84  [H] Odot District Nr 1 
NE42  Dream Field 
PHUP  Upolu 
YMIV  MOUNT IVE 
OH90  Casement 
2FD0  Flints Flying Ranch 
LSGG  Geneva 
NE56  Werner 
YMJM  Manjimup 
TA56  Blue Mountain 
9GA5  Lowell Field 
ED03  Pohlheim Viehweide 
KCAR  Caribou Muni 
3X7  Indian Hammock 
1MI1  Nikkila Farms 
2VA7  [H] Virginia Beach General Hospital 
LOWL  Linz Hoersching 
PS67  Uphill 
15Y  Sellman Fld 
RKJU  JEON JU 
6MI8  [H] Omans 
WT08  Siluas Babang 
YSAY  [S] SAND CAY 
SA6E  GENERAL MADARIAGA 
SJPD  [H] Riacho Verde 
F86  COLUMBIA 
6F5  Taylor 
EDFB  Reichelsheim 
0IN9  Parrish 
KHRX  Hereford Muni 
FAFK  Fisantekraal Airfield 
5FD9  [H] St James Helistop 
CYLQ  La Tuque 
LS16  Circle G 
FMSG  Farafangana 
LTBZ  Zafer 
UUBS  Smolensk South 
CYOJ  HIGH LEVEL 
17Q  Cortopassi 
SJQW  [H] Warna Roos 
SA7V  LA PAZ AEROCLUB 
MNLN  LEON 
0GA9  Roberta Industrial Park 
WT20  Soba (RBMU) 
H76  PAWHUSKA MUNI 
EDGQ  Schameder 
SJRL  Fazenda do Acucar 
CBX5  Cantung 
14J  CARL FOLSOM 
SA77  SAN ANDRES DE GILES 
SA4M  CORCOVADO ESTANCIA CARIDAD 
0IL1  [H] Loyola University Medical Center 
02WI  Beer 
13NC  Oak Grove MCOLF 
LTCI  Ferit Melen 
KSEF  Sebring Regl 
MP20  AUGUSTO VERGARA 
ESGK  Falkoping 
HAFN  Fincha 
MPDA  ENRIQUE MALEK INTL 
YCEM  Coldstream 
4LL1  Staton 
FA22  [H] Dove 
47WI  Oakbrook 
TX97  Cade Field 
CPE6  Sundridge Almaguin Highlands 
X21  Arthur Dunn Air Park 
YMHE  MOUNT HALE 
0NJ7  [H] Essex Generating Station 
KMMI  Mc Minn Co 
ED1A  [H] Uniklinik Giessen 
63NJ  [H] Howell Township Police 
62L  [H] ABC TV 
7IL8  Cody Port Rla 
SCYB  Trilahue 
7GA0  [H] St Marys Health Care Systems 
16PA  [H] Sky Hill 
0NK3  Seven Gullies 
1OR9  [H] Willamette Falls Community Hospital 
SAC8  Aeroclub Rawson 
TFFM  Guadeloupe/Marie Galante 
WS52  [H] St Marys Medical Center 
KCAE  Columbia Metropolitan 
WMKL  Langkawi Intl 
9PA8  [H] Thomas Jefferson University Hospital 
LSGP  La Cote 
FA36  WHITE FARMS 
TX83  [H] Water Department 
YCGR  CHALLENGER 
YMIA  Mildura 
X35  Marion County 
VILD  LUDHIANA 
LTBM  Isparta 
4IS7  Litchfield Rla 
LTAV  Sivrihisar 
SJPS  Fazenda Monte Belo 
16U  Fort Ruby Ranch Airstrip 
SA6R  GONZALEZ CHAVES 
KHRO  Boone Co 
EDFU  Mainbullau 
WT34  Taiyeve (RBMU) 
8H1  Dowacter 
RKJB  Muan Intl 
15N  Jenkins 
SJSH  Sonhar 
SA5I  Pirane/Estancia La Salvacion 
6OR0  Grells 
11TX  Butler 
YSAN  Sandstone 
EDEN  Bad Hersfeld 
SA88  SAN MIGUEL DEL MONTE BAHIA AGRADABLE 
SDSP  Santa Ines 
F51  Winnsboro Muni 
YSOE  SOUTH BEND 
WZ07  Huluwon (RBMU) 
XC002M  Pickle Lake Seaplane Base 
6K2  Shelby County 
EDKE  Kamen-Heeren 
EFSA  Savonlinna 
4S6  Tieton State 
SA8Y  Lujan 
SDPK  [H] Panco I 
H89  [H] Peabody-River King Nr 1 Mine 
ESHD  Danderyds sjukhus Stockholm 
YDLD  DELMORE DOWNS 
UUOT  DONSKOE 
9WI5  Tamarack 
PAPB  ST GEORGE 
SSPQ  Santa Rosa do Purus 
CYAV  Winnipeg St. Andrews 
PASY  Eareckson AS 
YARF  [S] ARLINGTON REEF 
OH47  [H] District 9 
YMGJ  MIRRNGATJA 
TX68  Parker Place 
IL36  Bob Walberg Field 
NK59  [S] Copake Lake 
WAPK  Nangasuri 
MN50  Arthur Field 
SAMR  San Rafael 
SOCA  Felix Eboue 
3U0  Murphy Hot Springs 
07FD  Flying G Ranch 
SCVM  Viña del Mar 
1MD6  [H] Metroplex 
KCON  Concord Muni 
LJDI  Divaca 
1M4  POSEY FLD 
RK28  G 219 
FQMP  MOCIMBOA DA PRAIA 
TA81  TYRA RANCH 
SANI  TINOGASTA 
LFQE  Etain Rouvres 
09IS  [H] Swedish American 
3T4  Mustang Field 
SAOM  MARCOS JUAREZ 
TA95  [H] Houston Northwest Medical Center 
LFPA  Persan Beaumont 
SCTR  Traiguén 
82T  Tarry Bank 
KMCB  Pike Co Lewis Fld 
OH53  [H] Ohio Bldg Authority 
KTMK  TILLAMOOK 
WART  Sumenep/Trunojoya (Local Gov) 
MY75  Curry 
KTNP  TWENTYNINE PALMS 
IL22  Long Rla 
YMEU  MERLUNA 
KVUO  Pearson Airfield 
9PN7  Veit 
28MI  Miller-Herrold 
KSHV  SHREVEPORT RGNL 
SSQU  Fazenda Alegrete - Retiro Caranda 
SSRN  Rio Negrinho 
7ND5  Buchmiller 
LOXT  Tulln 
SDRT  Ponto Geral 
EDJA  Memmingen/ Allgaeu 
6J6  Edgefield County 
XC0003  Arnprior seaplane Base 
XC003I  Lac Maskinonge 
WZ13  Imanuel (MAF) 
F45  North Palm Beach Co 
SDQO  [H] Fazenda Sao Quirino 
MI22  Crump 
26AR  FLY N K 
ESKH  Eksharad 
GE99  HEAVENS LDG 
HAJM  JIMMA 
PASN  ST PAUL ISLAND 
ESHS  Sahlgrenska Universitetssjukhuset Goteborg 
SSPF  FAZENDA SAO RAFAEL 
18I  Mc Creary Co 
SA8N  LIBERTAD LA ESMERALDA 
YSLI  [H] SEAL ISLAND 
XC001A  Lac Trevet 
EDHI  Hamburg Finkenwerder 
SDSG  [H] Fazenda Nossa Senhora da Conceicao 
XESS9  Gimo grass field 
9ND0  Bauer Strip 
EDKR  Schmallenberg-Rennefeld 
LCLK  Larnaca 
XC002Z  Pine Dock Seaplane Base 
1AR6  Diamond Bluff 
YTIT  TI TREE (NT) 
83G  Loars Field Inc 
SAME  El Plumerillo 
RK14  G 231 
LFRI  La Roche sur Yon les Ajoncs 
KTOC  Toccoa RG Letourneau Fld 
7PN2  [H] PQ-Lafayette Hill 
YCJU  CONJUBOY 
5CT0  [X] Eastford 
58OH  Rattlesnake Island 
ETMN  Nordholz AB 
NK65  [H] H & H Aviation Service Inc. 
YCIN  Curtin 
4LA6  [H] Little Lake 
VI66  FUKCHE 
0WI9  Mc Manus Hoonch-Na-Shee-Kaw 
MY49  Anderson 
TX40  Echo Lake 
YMEB  MOUNT EBA 
4NY2  [S] EDO 
WARC  Cepu/Ngioram (Pertamina) 
NK71  Marcellus 
FQLC  LICHINGA 
MN78  [S] Turtle Lake 
82C  Mauston New Lisbon Union 
SCTE  El Tepual 
LFPV  Villacoublay Velizy 
3W8  Eureka Muni 
LFSM  Monbeliard Courcelles 
18PN  Spud View 
AD4  Trail 
SDQX  Fazenda Esperanca 
CBU2  Iskut Village 
19M  C A MOORE 
SA9J  MAR DEL SUR ESTANCIA LUCILA 
MNBR  LOS BRASILES 
0IA6  Rinehart 
KFSD  Joe Foss Fld 
F79  Temple Airport Inc 
0KY2  [H] Mgt Station 2105 
SDRC  Fazenda Santana 
KJES  Jesup Wayne Co 
PS98  Travis 
9NE4  Johnston Field 
28NE  Thies 
SSRY  Rio Pardo 
MYAS  Sandy Point 
VEUK  UTKELA 
SSQB  Jordao 
7WI0  Turkey Bluff 
49AK  Secluded Lake 
PA26  [H] WXKW 
5MN1  Budde 
VNPL  Phaplu 
SAZL  SANTA TERESITA 
XMM0003  Isla Maria Madre 
LA57  Mowata Flying Service-Eunice 
1OH7  Derry Landing Strip 
SCAS  Cabo Primero Juan Román 
KMVC  Monroe County Aeroplex 
KCXP  Carson 
81OI  [H] Brown 
4WA6  Hille-Kimp Airstrip 
LHHH  Hármashatárhegy 
RKSW  SUWON 
SDDN  Andradina 
D90  Mancelona Municipal 
4G3  Miller 
XLF008H  Saint Martin des Champs 
37D  Melby 
SDGU  Usina Bonfim 
AT24  Sky Blu 
SJIF  Fazenda Nova Era 
II91  Dunbar Field 
2MN8  Trygstad 
SSGO  Rosada 
TS17  [H] First Bank Plaza Garage 
GG64  QUEBO 
4II9  Shultz - Private 
MUBR  LAS BRUJAS 
SSDT  Fazenda Pau D'Arco 
PADG  RED DOG 
37MN  Nagel and Schultz 
II85  Blomenberg 
TKB  Tekadu 
TS03  Bryants Landing 
SSFK  Forte Coimbra 
2AZ0  [H] Helicopter Transport Inc 
CYWL  Williams Lake 
SSEP  Sao Sepe 
WA0A  Aurina 
SDEJ  Fazenda Guara do Pinhal 
XESE4  [H] Visby hospital 
SJKY  [H] Comeri Santos 
4F7  Kizer Fld 
EHHS  Haamstede Gliders 
KHIE  MOUNT WASHINGTON RGNL 
8OK7  Cc & M 
SJHB  [H] Real Hospital Portugues 
SDFQ  [H] Centro Empresarial Botafogo 
11OR  Holiday Sky Ranch 
CKX  Chicken 
2TA5  [H] EHI 
LA43  [H] Air Logistics 2 
72MN  Bardwell Airstrip 
QPYN  [S] Pyramid Lake Landing Zone (Needles) 
81NM  DIAMOND A RANCH 
KAAP  [X] Andrau Airpark 
40F  Flying Tigers 
SCCL  Caldera 
3CK  Lake in the Hills 
RP14  Mrmp 
PA32  [H] Ashland Regional Medical Center 
5MO5  [H] St Lukes Hospital 
YOIT  ORIELTON 
54OR  [H] St Charles Medical Center 
05II  Reichhart 
KONP  Newport Muni 
41U  Manti Ephraim 
M12  STEELE MUNI 
LFFL  Bailleau Armenonville 
KMUO  Mountain Home AFB 
SD13  Hofer - Private 
CL80  [H] Sherman Oaks Community Hospital 
83TA  Rainbow Field 
42N  Double Jj Resort Ranch 
VYPA  HPA AN 
KOMK  Omak 
LHKD  Kecskéd 
LFEW  Saulieu Liernais 
UIKM  Mama 
YMSX  MOOROONGGA ISLAND 
KVCB  NUT TREE 
MU44  [H] Texas County Meml Hospital 
YMPC  Point Cook 
MRDC  DUACARI 2 
WADY  Blimbingsari 
40II  Keener Field 
SSDC  Dionisio Cerqueira 
PAGK  Gulkana 
SSGX  Fazenda Rio Negro 
ME13  [H] Royal Anchor 
SJIQ  Usina Coruripe - Filial Limeira do Oes 
SDGB  Usina Colorado 
FZJH  Matari 
SC75  Oolenoy Valley 
8Q3  Fort Bragg 
6OK2  Redhills 
AQ5  Nakusp Air Strip 
SDDY  [H] Cesari 
SJJJ  Fazenda Juliana 
37S  Fort Peck 
LOLF  Freistadt 
SDFF  Fazenda Fittipaldi Citrus 
SJHU  Agropecuaria Vale do Guapore 
ME07  [H] Memorial Hospital 
SC61  Wild Irish Rose 
35L  Carriage Lane 
WV36  [H] Alloy 
00UT  Clear Creek Ranch 
SJKN  Caracana 
36W  Martindale Executive Arpk 
MUCA  MAXIMO GOMEZ 
S89  Craigmont Municipal 
WA0V  Wapoga 
XEDE9  Riesa-Canitz 
VEAN  Along 
SSEG  Estancia da Gruta 
FD52  [H] St Cloud Hospital 
2CA8  B & E Ranch 
UUYY  SYKTYVKAR 
26TS  [H] Memorial Hospital-The Woodlands 
XEDEX  Paterzell 
5CA1  [H] Texaco - San Ardo 
MU50  [H] Riley House 
XED02  Zellhausen 
LFGH  Cosne sur Loire 
UIIR  Irkutsk Northwest 
DE23  Ockel Farms 
CL94  [H] Plumas District Hospital 
LFDS  Sarlat Domme 
CKJ9  Lemberg 
63TS  [H] The America Tower 
KALW  Walla Walla Regl 
CKD2  Porcupine Plain 
SCNK  Los Pelambres 
LHDK  Dunakeszi 
C35  Reedsburg Muni 
LA94  Corkern 
1U2  MUD LAKE 
SCMP  Melipilla 
IN34  Rush Strip 
OMDB  Dubai Intl 
23GA  [H] Hartrampf 
2CO3  Jackrabbit Strip 
SSHW  Fazenda Maracai 
3NC5  Flying Bj 
II52  Haffner 
SSKL  Fazenda Piao 
YFLF  [S] FLORA REEF 
KDRU  Drummond 
SJEE  [H] Malwee Pomerode 
SDKV  [H] Rede Globo 
LOAV  Voeslau 
XLF007P  Venisey 
SFPI  Pebble Island 
6S4  Davis 
SDHM  [H] Helicentro Morumbi 
EFKG  Kumlinge 
WX05  Amaroe Meer (DGAC) 
UI23  [H] Burovaya 179001 
XLF004K  Breuil Barret 
66GA  Comanche Landing 
XLF0071  Lourouer-Saint-Laurent 
PTSA  Kosrae 
SDJR  JN Resort 
SJDA  Fazenda Cruzeiro 
XLF006T  Brizay 
EDRG  Idar-Oberstein/Goettschied 
SJGZ  Fazenda Aracatuba 
SDII  [H] iTower 
EHDP  De Peel 
DGSI  Kumasi 
WX11  Anik (MAF) 
4J4  Forestry-Strip 
XLF0065  Sougé 
UI37  Goryachinsk 
KHEF  Manassas Regl / Harry P Davis 
6TS4  Stampede Valley 
53FL  [H] University of Florida 
VEMZ  MUZAFFARPUR 
SSIS  Pirai Do Sul 
II46  [H] Carlson Farms 
CYXT  Terrace 
SSJH  Fazenda Guarani 
SAG  Sagwon 
IN20  Jungclaus 
WAJR  Waris (DGAC) 
SCOO  Melimoyu 
C21  [H] C'wealth Health Center 
16FL  J-22 Ranch 
YXFV  [H] Broadmeadow 
3L2  SKY RANCH 
LA80  [H] Popeyes 
1T6  Lazy Two Ranch 
YTPA  Tipperary 
LFHG  Saint Chamond l' Horme 
T38  [S] Homewood 
MU87  [H] St Marys Health Center 
YCRS  CARINA DOWNS 
45XS  Airsport Skyranch 
CPQ3  Niagara Falls Heliport 
IN08  Shakamak 
49ND  Schmidtgall Farms 
WAKA  Akimuga (MAF) 
CL43  [H] Rockwell International Seal Beach 
XLF00A6  Grand Terrus 
LFIT  Toulouse Bourg Saint Bernard 
XLF00BL  Polliat 
C09  Morris Muni J R Washburn 
YTRI  [S] TRINITY INLET 
18IL  [H] La Grange Meml Hospital 
YVIV  MOUNT VIVIAN 
XLF00AW  Val Thorens Alti 
KMYL  Mc Call Muni 
00XS  L P Askew Farms 
SJFI  CIFI 
SDHZ  [H] Hospital Vera Cruz 
YSTO  Stonehenge 
EDPO  Neumarkt Oberpfalz 
02CL  Conover Air Lodge 
EFHK  Helsinki Vantaa 
WX39  Beteleme (MAF) 
LOAA  Ottenschlag 
NY30  [H] Hilltop 
SDKA  Angical 
AZ03  Cliff Dwellers Lodge 
FZFK  GEMENA 
SJER  FAZENDA CANADA 
EDST  Hahnweide 
XLF007G  Arc sous Cicon 
38K  Lucas 
FD85  [H] De Soto Memorial Hospital 
ESSN  Norrtalje Mellingeholm 
CYYG  Charlottetown 
NGMN  Makin 
PAKH  Akhiok 
2MA7  [S] Falls Pond 
NGNU  Nikunau 
YHAY  Hay 
8TS1  Retta 
FD91  [H] Nassau General Hospital 
CYXC  CANADIAN ROCKIES INTL 
HASO  ASOSA 
24CO  [H] Ibm Building 910 
PAIW  WALES 
SSID  INDEPENDENCIA 
KSPG  Albert Whitted 
SJGM  [H] Quadra Hungria 
EDQK  Kulmbach 
KHEQ  Holyoke 
XLF005X  Egry 
SJDV  Fazenda Redencao 
AZ17  Circle H Ranch 
SDJE  [H] Avibras II B 
YSVP  SILVER PLAINS 
EDRP  Pirmasens 
XLF0059  Houville La Branche 
XLF006C  Chouzy-sur-Cisse 
CL57  [H] Torrey Pines Corporate 
1AK4  Kenai River Airpark 
18KS  Cherokee Strip 
LHFC  Bodmér - Felcsút 
MGQZ  Quetzaltenango 
LFHP  Le Puy Loudes 
RI02  [H] Downtown Providence Helistop 
SCLC  Municipal de Vitacura 
SATG  GOYA 
KOCW  Warren Fld 
XEN001M  Ruteig 
LFKK  Montmeilleur 
5TN3  [H] Boondocks 
MU93  [H] Breech Medical Center 
LSPN  Triengen 
YCSW  CAMP ENGSTROM WOOLSHED 
CPP7  CPP7 Ottawa Civic Hospital Heliport 
XESS13  Härkeberga 
OMFJ  Fujairah 
4NA4  Dimond Airstrip 
WAJE  Yuruf (AMA) 
GA76  Broken Ranch 
FB68  Sekuma 
CT21  [H] C N Flagg 
2F1  Shamrock Muni 
56F  FISHER CO 
EG61  Knockin Oswestry 
AR36  [H] Medi-Port 
NZUN  Pauanui Beach 
04MA  Goddard 
1II5  Van De Mark 
7X3  Duda Airstrip 
RJT2  Miho 
AU50  Lake Macleod 
EIMH  Athboy 
ZBDS  Ordos Ejin Horo 
TE52  Just Plane Fun Airpark Inc 
9CA1  [H] Barstow Service Center 
KEZI  Kewanee Muni 
XLE0005  Biar Beneixama 
NA52  Boe Field 
3OH2  [H] API 
FNUE  LUENA 
HE23  DARAW 
6WA3  Green Acres 
WN83  [H] Telephone Utilities Tiw 
3OI6  Vogel Airpark 
YIKM  Inkerman 
NA46  Price Airstrip 
7TA9  [H] Angelo Community Hospital 
43TA  Diamond Seven Ranch 
YKPR  KALPOWAR 
HE37  BILBAYS 
EPBE  Belchatow Kalduny 
67NY  Ultralight Port 
SITY  Fazenda Sao Geraldo 
7Y7  A.R.S. Sport Strip 
CD62  [H] Baxter Pass 
74LL  [H] Illinois Dept of Transportation Nr 6 
AU44  Beringarra 
NV77  Empire Farms 
SIWB  Fazenda Sperafico 
21D  Lake Elmo 
LI89  [H] Fiat pista di prova Lingotto Torino 
SB29  FAZENDA BELA VISTA 
7MO0  [H] Truman Medical Center East 
NY1  Kline Kill 
TE46  [H] Memorial Hospital 
YPED  Edinburgh 
EGAD  Newtownards 
5A3  Boone Inc 
0MO9  [H] Emerson 
06TA  Glaser Field 
UHNA  Munuk 
SNQD  SOUSA 
57B  Islesboro 
0AZ5  Castle Well 
KLPC  Lompoc 
AR22  Sherrill Flying Service Inc. 
80II  Boyer Flight Park 
LIMS  PIACENZA San Damiano 
LKVL  Vlasim 
31LL  Seeman 
MT18  Hoerner 
22NY  [H] Troop A Headquarters 
GA62  CEDAR RIDGE 
YLVT  Laverton (Military - Closed) 
CT35  [H] Hamilton Standard 
VTBI  Prachin Buri RTA 
CJL9  Radisson 
OR27  Chadwick 
UDYE  EREBUNI 
CFY5  Pine Lake 
SNSL  Fazenda Ipitinga 
L66  Pollock Muni 
XS03  Herbert Ranch 
LKTD  Tachov 
SNPW  Piaus 
HEGN  Hurghada Intl 
LPAR  Alverca 
MT30  Trapper Creek Strip 
FB54  Nojane 
IA67  [H] Cass County Memorial Hospital 
4OK7  Flying A Ranch 
YNOC  Nockatunga 
25IL  Bob Davis Flying Service 
MS56  [H] GMH 
AL85  [H] Towers 
94OR  Farm Yard Field 
HUAR  Arua 
SIVQ  Fazenda Annalu 
WW56  Pass Valley (NRC) 
K00  Hall 
9MO5  Hindman 
74ND  Langs Airfield 
9V7  Eads Muni 
VT48  Fairholt 
78XS  Smith Aviation Inc 
SIUJ  Pista Santa Tereza 
EGCL  Fenland 
KEYE  Eagle Creek Airpark 
MD67  [H] Dow Jones & Co. Inc. 
FYTL  Talismanis 
SIWU  Pantanal Fazenda da Candelaria 
K14  Beyer Farm 
WW42  Okbap (UFM) 
UAFC  Naryn Northeast 
AU78  Tanbar 
9W3  Simpson 
SITN  Pantanal Fazenda Diamandore 
KIMM  Immokalee 
MD73  Happy Landings Farm 
8WA6  Christensen Field 
41OI  [H] Mansfield General Hospital 
YGEI  Geehi Landing Ground 
AL91  [H] The Childrens Hospital 
25KS  Wyrill Farming-Leasing Inc 
MS42  Mississippi Petrified Forest 
CT09  Heckler Field 
FB40  Lephepe 
IA73  [H] St Lukes Hospital Emergency 
YNNG  NAR NAR GOON 
VCCW  WIRAWILA 
2GC  Grays Creek 
UHMM  Magadan Sokol 
2D9  Paynesville Municipal 
VTCM  Ban Thi 
MDAB  ARROYO BARRIL INTL 
EG49  Haydock Park 
SNRH  RACHID SALIBA 
8II9  [H] Summe Farm 
L72  TRONA 
19CO  [H] UCH Memorial Hospital 
AYTE  Telefomin 
NZWF  WANAKA 
XS17  Hensley Ranch 
04OI  Herr II 
60KS  Alley Field 
SNQS  Fazenda N. S. Auxiliadora 
0CO6  Flying M & M Ranch 
MM26  San Ignacio 1 
ENGM  Oslo Gardermoen 
1NC0  Delks 
0R6  HAMPTON MUNI 
MDLR  La Romana Intl 
NTTE  Tetiaroa 
CJC6  Hafford 
2J2  LIBERTY CO 
LEVC  Valencia 
IA98  [H] Iowa Lutheran Hospital Life Flight 
SWRJ  Fazenda Panflora 
OK31  Love County 
LPMF  Monfortinho Airstrip 
SWQQ  Fazenda Fundao Alegre 
31AK  Dalrymples 
PN49  Dunbar 
WI26  Mertinkes 
YNCW  NEWCASTLE WATERS 
U70  Cascade 
WN40  Coupville Airpark 
KPNT  Pontiac Muni 
EPLY  Leczyca 
SIZE  [H] Coppersteel Bimetalicos 
8NA4  Logging Camp Plateau Airstrip 
KGMU  Greenville Downtown 
9Y8  Bergemann 
EGLC  London City 
AU93  Kukerin 
6NC9  Moss Hill 
69OR  Dick Fisher 
KEWN  Coastal Carolina Regl 
5M0  ROUNTREE FLD 
WY65  Madsen 
UODD  Dikson 
89ND  Poleschook 
SIXZ  Fazenda Spartacus 
EN08  Bjorgan 
3TS8  [H] Dailey Inc 
7U4  Morgan 
85XS  [H] Marine Consultants Inc 
AU87  Yardea Airport 
WN54  ELLERPORT 
FBMN  MAUN 
NA85  Brenna Airstrip 
KPLK  M Graham Clark Downtown 
SWSN  Fazenda Sao Valentim 
YBTD  BRIGHTON DOWNS 
FGSL  Malabo 
FL67  EVANS PROPERTIES INC 
MM32  Puerto Libertad North 
SBKP  Sao Paulo Viracopos 
4TS1  [H] Pin Oak Stables 
LIAP  Aeroporto dei Parchi 
